"Nom","Code postal","Pays","État","Hub de rattachement","ID"
"IMSOUANE​","19399","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19399"
"IMZOUREN  ","19400","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19400"
"INEZGANE​","19401","Maroc","Souss-Massa (MA)","HUB_AGADIR","19401"
"ISSAGEN  ","19402","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19402"
"IZEMMOUREN  ","19404","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19404"
"IZEMMOUREN  ","19403","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19403"
"IZERBI​","19405","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19405"
"JABRIA​","19406","Maroc","Casablanca-Settat (MA)","HUB_EL JADIDA","19406"
"JAMAA IDAOUSSEMLAL​","19407","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19407"
"JAMAA SHAIM​","19408","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19408"
"JBABRA  ","19409","Maroc","Fès-Meknès (MA)","HUB_FES","19409"
"JBEL LHBIB  ","19410","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19410"
"JDOURE​","19411","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19411"
"JEMAAT-RIAH  ","19414","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19414"
"JEMAA HAOUAFATE  ","19412","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19412"
"JEMAA MOUL LEBLAD  ","19413","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19413"
"JNAN ANNICH  ","19415","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19415"
"JORF MALHA  ","19416","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19416"
"JORF SFAR​","19417","Maroc","Casablanca-Settat (MA)","HUB_EL JADIDA","19417"
"JRADA​","19418","Maroc","L'Oriental (MA)","HUB_OUJDA","19418"
"KAHF NSOUR  ","19419","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19419"
"KALAAT SENADA  ","19421","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19421"
"KALAA DES SRAGHNA  ","19420","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19420"
"KARIAT ARCKMANE ","19423","Maroc","L'Oriental (MA)","HUB_NADOR","19423"
"KARIAT BA MOHAMED  ","19424","Maroc","Fès-Meknès (MA)","HUB_FES","19424"
"KARIA BENAOUDA  ","19422","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19422"
"KASBAT TADLA  ","19426","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19426"
